id,anna_mf,oblonsky_mf,vronsky_mf,levin_mf,dolly_mf,kitty_mf,karenin_mf
0,0,0,0,0,0,0,0
1000,0,2,0,0,0,0,0
2000,0,2,0,0,3,0,0
3000,0,1,0,0,8,0,0
4000,2,6,0,0,10,0,2
5000,2,10,0,16,3,0,2
6000,0,13,0,21,0,5,0
7000,0,5,0,18,0,5,0
8000,0,1,0,18,0,4,0
9000,0,4,0,12,1,7,0
10000,0,4,5,16,1,4,0
11000,0,5,5,16,0,8,0
12000,0,3,9,12,0,12,0
13000,0,0,8,14,0,8,0
14000,0,0,12,18,0,8,0
15000,3,5,9,13,1,12,0
16000,7,5,12,4,1,9,0
17000,10,6,13,2,9,2,0
18000,11,5,9,0,19,2,0
19000,15,6,2,0,12,10,0
20000,12,4,3,1,6,10,0
21000,12,0,9,1,0,21,0
22000,11,0,10,12,0,21,0
23000,1,0,3,19,0,0,0
24000,0,0,0,22,0,0,0
25000,9,0,1,14,6,3,0
26000,12,0,2,1,6,3,0
27000,4,0,10,0,0,0,0
28000,13,0,12,0,1,0,0
29000,14,0,6,0,1,0,0
30000,5,0,9,0,0,3,0
31000,2,1,3,1,2,6,0
32000,3,1,2,4,5,18,0
33000,7,0,7,3,4,14,0
34000,4,0,9,0,0,0,0
35000,11,0,8,0,0,0,0
36000,11,0,7,0,0,1,0
37000,5,0,4,0,0,1,0
38000,8,0,3,0,0,0,0
39000,5,0,3,0,0,1,0
40000,0,0,1,11,0,1,0
41000,0,0,0,13,0,0,0
42000,0,3,0,12,0,1,0
43000,0,5,0,19,0,2,0
44000,0,2,1,17,0,2,0
45000,3,2,10,13,0,2,1
46000,3,0,25,3,0,0,1
47000,1,0,24,0,0,0,0
48000,4,0,7,0,0,0,0
49000,3,0,4,0,0,0,0
50000,4,0,13,0,0,0,0
51000,3,0,16,0,0,0,0
52000,3,0,18,0,0,0,0
53000,3,0,10,0,0,0,0
54000,7,0,6,0,0,0,0
55000,10,2,7,0,0,0,0
56000,7,2,2,3,0,11,0
57000,1,0,0,5,0,17,0
58000,0,0,0,2,0,23,0
59000,6,0,0,0,0,23,0
60000,6,0,0,0,0,17,0
61000,2,0,0,0,0,16,0
62000,1,0,0,17,0,15,0
63000,0,0,0,19,0,0,0
64000,0,0,0,17,0,0,0
65000,0,0,0,19,0,0,0
66000,0,0,0,19,0,0,0
67000,0,2,0,14,1,0,0
68000,0,2,0,13,7,3,0
69000,0,0,0,1,9,3,0
70000,0,2,0,9,9,3,0
71000,0,2,1,14,8,6,0
72000,0,0,1,16,6,3,0
73000,2,0,1,7,0,1,0
74000,2,0,2,1,0,1,0
75000,3,0,2,0,0,0,1
76000,5,0,5,0,0,0,1
77000,6,0,4,0,0,0,0
78000,12,0,5,0,0,0,0
79000,14,0,5,0,0,0,0
80000,17,0,9,0,0,0,0
81000,6,0,10,0,0,0,0
82000,4,0,20,0,0,0,0
83000,3,0,17,0,0,0,0
84000,4,0,7,0,0,0,0
85000,6,0,3,1,0,0,0
86000,3,0,0,11,2,3,0
87000,0,0,0,14,2,3,0
