filtered_wo_names,count
levin,927
said,841
one,703
vronsky,535
well,502
anna,494
come,449
know,415
alexandrovitch,415
yes,410
kitty,404
alexey,384
go,375
arkadyevitch,375
see,375
time,368
face,353
man,351
life,341
eyes,332
went,331
say,326
stepan,317
nothing,317
room,316
thought,308
wife,306
felt,306
good,306
something,287
love,281
like,279
knew,268
came,262
little,259
away,258
old,255
first,253
people,251
brother,251
saw,250
long,247
going,246
without,243
husband,238
position,236
never,234
everything,233
made,233
day,226
still,225
back,225
way,224
hand,220
must,214
feeling,211
asked,210
though,206
new,205
ivanovitch,202
princess,202
think,202
look,199
smile,197
looked,193
two,192
always,192
understand,185
work,184
conversation,181
head,181
even,180
much,180
seemed,179
words,179
get,179
sergey,176
children,176
got,172
right,171
mother,170
anything,168
put,167
home,167
heard,165
heart,165
tell,163
began,162
thing,161
round,160
question,160
house,159
dolly,158
told,155
looking,150
want,149
make,148
every,148
moment,146
another,145
woman,144
take,142
whole,142
expression,140
us,140
alexandrovna,140
table,139
took,139
last,137
done,136
better,136
moscow,134
left,134
great,132
might,132
men,128
carriage,128
quite,127
mind,125
hands,123
turned,122
talk,122
young,121
let,121
shall,121
place,121
door,120
talking,120
alone,119
darya,117
world,116
seen,114
three,114
give,114
things,113
side,112
dinner,110
son,108
already,107
wanted,107
brought,106
coming,105
glad,104
evening,104
doctor,104
child,103
prince,102
women,102
petersburg,102
voice,101
god,101
tried,100
gone,100
country,99
varenka,98
towards,98
part,98
thinking,98
simply,97
together,95
days,94
countess,94
speak,93
peasants,93
ever,93
possible,92
find,92
help,92
suddenly,92
believe,92
met,91
answer,91
taken,91
happy,91
everyone,90
saying,89
letter,89
course,89
society,89
father,88
instant,88
word,88
matter,87
getting,86
point,86
horses,86
light,85
sviazhsky,85
happiness,84
soul,84
liked,83
family,83
stood,83
morning,83
anyone,82
may,81
peasant,81
oblonsky,81
yet,81
won,81
gave,81
soon,79
relations,79
steps,79
friend,78
standing,78
madame,78
ready,77
subject,77
girl,77
read,77
seryozha,77
really,77
ask,77
sister,77
walked,77
set,76
fact,76
sitting,76
end,76
feel,76
impossible,76
white,75
passed,75
found,75
drawing,74
ivanovna,74
sat,74
smiled,73
almost,72
money,71
interest,71
death,71
night,71
meeting,71
care,71
strange,71
law,71
living,71
today,70
since,70
seeing,70
betsy,70
sense,69
used,69
married,69
half,69
called,69
lidia,68
next,68
idea,68
behind,68
meant,67
veslovsky,67
nikolay,67
high,67
sent,67
hear,66
divorce,66
sort,66
land,66
taking,65
often,65
immediately,65
far,65
else,64
