,1K Words,Anna,Oblonsky,Vronsky,Levin,Dolly,Kitty,Karenin
0,0,0,0,0,0,0,0,0
1,1000,0,2,0,0,0,0,0
2,2000,0,2,0,0,3,0,0
3,3000,0,1,0,0,8,0,0
4,4000,2,6,0,0,10,0,2
5,5000,2,10,0,16,3,0,2
6,6000,0,13,0,21,0,5,0
7,7000,0,5,0,18,0,5,0
8,8000,0,1,0,18,0,4,0
9,9000,0,4,0,12,1,7,0
10,10000,0,4,5,16,1,4,0
11,11000,0,5,5,16,0,8,0
12,12000,0,3,9,12,0,12,0
13,13000,0,0,8,14,0,8,0
14,14000,0,0,12,18,0,8,0
15,15000,3,5,9,13,1,12,0
16,16000,7,5,12,4,1,9,0
17,17000,10,6,13,2,9,2,0
18,18000,11,5,9,0,19,2,0
19,19000,15,6,2,0,12,10,0
20,20000,12,4,3,1,6,10,0
21,21000,12,0,9,1,0,21,0
22,22000,11,0,10,12,0,21,0
23,23000,1,0,3,19,0,0,0
24,24000,0,0,0,22,0,0,0
25,25000,9,0,1,14,6,3,0
26,26000,12,0,2,1,6,3,0
27,27000,4,0,10,0,0,0,0
28,28000,13,0,12,0,1,0,0
29,29000,14,0,6,0,1,0,0
30,30000,5,0,9,0,0,3,0
31,31000,2,1,3,1,2,6,0
32,32000,3,1,2,4,5,18,0
33,33000,7,0,7,3,4,14,0
34,34000,4,0,9,0,0,0,0
35,35000,11,0,8,0,0,0,0
36,36000,11,0,7,0,0,1,0
37,37000,5,0,4,0,0,1,0
38,38000,8,0,3,0,0,0,0
39,39000,5,0,3,0,0,1,0
40,40000,0,0,1,11,0,1,0
41,41000,0,0,0,13,0,0,0
42,42000,0,3,0,12,0,1,0
43,43000,0,5,0,19,0,2,0
44,44000,0,2,1,17,0,2,0
45,45000,3,2,10,13,0,2,1
46,46000,3,0,25,3,0,0,1
47,47000,1,0,24,0,0,0,0
48,48000,4,0,7,0,0,0,0
49,49000,3,0,4,0,0,0,0
50,50000,4,0,13,0,0,0,0
51,51000,3,0,16,0,0,0,0
52,52000,3,0,18,0,0,0,0
53,53000,3,0,10,0,0,0,0
54,54000,7,0,6,0,0,0,0
55,55000,10,2,7,0,0,0,0
56,56000,7,2,2,3,0,11,0
57,57000,1,0,0,5,0,17,0
58,58000,0,0,0,2,0,23,0
59,59000,6,0,0,0,0,23,0
60,60000,6,0,0,0,0,17,0
61,61000,2,0,0,0,0,16,0
62,62000,1,0,0,17,0,15,0
63,63000,0,0,0,19,0,0,0
64,64000,0,0,0,17,0,0,0
65,65000,0,0,0,19,0,0,0
66,66000,0,0,0,19,0,0,0
67,67000,0,2,0,14,1,0,0
68,68000,0,2,0,13,7,3,0
69,69000,0,0,0,1,9,3,0
70,70000,0,2,0,9,9,3,0
71,71000,0,2,1,14,8,6,0
72,72000,0,0,1,16,6,3,0
73,73000,2,0,1,7,0,1,0
74,74000,2,0,2,1,0,1,0
75,75000,3,0,2,0,0,0,1
76,76000,5,0,5,0,0,0,1
77,77000,6,0,4,0,0,0,0
78,78000,12,0,5,0,0,0,0
79,79000,14,0,5,0,0,0,0
80,80000,17,0,9,0,0,0,0
81,81000,6,0,10,0,0,0,0
82,82000,4,0,20,0,0,0,0
83,83000,3,0,17,0,0,0,0
84,84000,4,0,7,0,0,0,0
85,85000,6,0,3,1,0,0,0
86,86000,3,0,0,11,2,3,0
87,87000,0,0,0,14,2,3,0
88,88000,0,0,0,15,0,1,0
89,89000,0,0,0,9,0,0,0
90,90000,0,0,0,9,0,0,0
91,91000,0,0,0,12,1,0,0
92,92000,0,0,0,9,1,1,0
93,93000,0,0,0,10,0,1,0
94,94000,1,0,4,11,0,0,0
95,95000,5,0,16,8,0,0,1
96,96000,5,0,13,0,0,0,1
97,97000,2,0,2,0,0,0,0
98,98000,1,0,2,0,0,0,1
99,99000,0,0,0,0,6,0,2
100,100000,1,2,1,7,8,2,3
101,101000,2,2,2,7,2,2,1
102,102000,1,0,1,10,2,4,6
103,103000,0,0,1,12,2,4,6
104,104000,0,0,0,6,0,4,0
105,105000,4,0,0,6,8,4,0
106,106000,4,0,0,16,8,4,0
107,107000,0,0,0,24,4,4,0
108,108000,0,0,0,19,0,7,0
109,109000,1,0,0,10,1,7,1
110,110000,2,0,6,1,1,0,1
111,111000,3,0,6,0,0,0,0
112,112000,7,0,1,0,0,0,0
113,113000,7,0,3,0,0,0,0
114,114000,5,0,3,0,0,0,1
115,115000,4,1,1,0,1,0,1
116,116000,3,2,1,7,1,1,0
117,117000,2,1,0,14,2,1,0
118,118000,0,0,2,13,2,3,0
119,119000,0,0,2,8,2,4,0
120,120000,0,0,0,15,2,6,0
121,121000,0,0,0,11,4,7,0
122,122000,8,0,20,6,3,9,0
123,123000,10,0,26,4,0,2,0
124,124000,6,0,12,0,0,0,0
125,125000,5,0,8,0,0,0,0
126,126000,5,0,5,0,0,0,0
127,127000,6,0,21,1,0,0,0
128,128000,6,0,20,5,3,2,0
129,129000,0,0,0,6,3,2,0
130,130000,0,0,0,8,5,6,0
131,131000,0,0,0,19,5,6,0
132,132000,0,0,0,18,0,7,0
133,133000,0,0,0,17,0,5,0
134,134000,0,0,0,21,0,7,0
135,135000,4,0,0,11,0,8,0
136,136000,4,0,0,0,0,1,0
137,137000,4,0,2,0,0,0,7
138,138000,5,0,3,0,0,0,7
139,139000,1,0,1,0,0,0,0
140,140000,1,0,0,0,0,0,0
141,141000,9,0,9,0,0,0,0
142,142000,13,0,14,0,0,0,0
143,143000,5,0,6,0,0,0,0
144,144000,4,0,1,0,0,0,0
145,145000,11,0,7,0,0,0,0
146,146000,13,0,11,0,0,0,0
147,147000,16,0,17,3,3,5,0
148,148000,10,1,9,5,5,13,0
149,149000,2,1,3,6,2,13,0
150,150000,1,0,0,5,0,8,0
151,151000,0,0,0,4,2,4,0
152,152000,3,2,1,13,4,8,0
153,153000,3,2,1,13,2,8,0
154,154000,0,2,0,15,0,2,0
155,155000,0,2,0,16,0,0,0
156,156000,0,3,0,17,0,0,0
157,157000,0,4,0,8,0,1,0
158,158000,0,2,0,9,0,2,0
159,159000,0,0,0,10,2,9,0
160,160000,0,2,0,13,7,8,0
161,161000,4,2,1,15,10,4,0
162,162000,12,0,5,4,10,4,0
163,163000,16,0,5,0,20,0,0
164,164000,19,2,2,0,18,0,0
165,165000,19,2,2,0,10,2,0
166,166000,10,1,6,0,10,2,0
167,167000,14,0,5,0,10,1,0
168,168000,14,0,4,5,10,0,0
169,169000,10,2,3,5,14,0,0
170,170000,9,2,1,1,14,0,0
171,171000,9,1,10,5,11,1,0
172,172000,4,1,10,14,0,1,0
173,173000,0,0,0,10,0,0,0
174,174000,0,0,0,16,0,0,0
175,175000,0,0,8,14,0,0,0
176,176000,1,0,8,17,0,1,0
177,177000,4,2,13,6,1,1,0
178,178000,6,2,6,1,1,1,0
179,179000,2,2,5,8,1,4,0
180,180000,0,1,0,15,1,5,0
181,181000,0,0,0,17,0,2,0
182,182000,0,0,0,21,0,2,0
183,183000,0,4,4,21,0,1,0
184,184000,3,4,11,16,0,1,0
185,185000,8,1,7,18,2,1,0
186,186000,8,4,1,17,2,4,0
187,187000,7,5,1,8,1,4,0
188,188000,0,1,0,13,1,4,0
189,189000,0,0,0,10,2,6,0
190,190000,0,0,0,11,2,9,0
191,191000,5,4,0,7,2,4,3
192,192000,6,4,0,0,1,0,3
193,193000,3,2,1,0,0,0,1
194,194000,0,5,1,0,0,0,2
195,195000,2,4,1,0,0,0,2
196,196000,6,2,4,0,0,0,1
197,197000,7,2,7,0,0,0,0
198,198000,5,2,7,0,0,0,0
199,199000,3,0,3,0,0,0,0
200,200000,3,1,2,1,6,5,0
201,201000,14,1,2,2,8,16,0
202,202000,13,0,2,1,3,11,0
203,203000,9,0,4,0,0,3,0
204,204000,6,0,4,1,0,0,0
205,205000,0,2,4,1,0,0,0
206,206000,0,2,5,0,0,0,1
207,207000,0,1,5,3,1,3,1
208,208000,0,1,0,4,5,4,0
209,209000,0,0,0,7,4,1,0
210,210000,0,0,0,8,0,0,0
211,211000,0,0,0,7,1,0,0
212,212000,0,0,0,10,1,0,0
213,213000,0,0,1,9,2,0,0
214,214000,0,0,1,6,3,0,0
215,215000,0,0,0,9,1,7,0
